QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID, Name, ID, Salary,GameInfo,TeamAbbrev 
,,,,,,,,,,RB,Keith Smith (7530919),Keith Smith,7530919,3000,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,RB,Mike Davis (7530920),Mike Davis,7530920,3000,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,RB,Darius Jackson (7530921),Darius Jackson,7530921,3000,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,WR,Brice Butler (7530978),Brice Butler,7530978,3000,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,WR,Rod Streater (7530981),Rod Streater,7530981,3000,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,WR,Quinton Patton (7530982),Quinton Patton,7530982,3000,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,WR,Aaron Burbridge (7530983),Aaron Burbridge,7530983,3000,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,WR,Lucky Whitehead (7530984),Lucky Whitehead,7530984,3000,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,RB,Anthony Sherman (7530925),Anthony Sherman,7530925,3000,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,RB,Knile Davis (7530926),Knile Davis,7530926,3000,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,RB,Fitzgerald Toussaint (7530927),Fitzgerald Toussaint,7530927,3000,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,RB,Roosevelt Nix (7530930),Roosevelt Nix,7530930,3000,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,RB,Daryl Richardson (7530931),Daryl Richardson,7530931,3000,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,WR,Darrius Heyward-Bey (7530985),Darrius Heyward-Bey,7530985,3000,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,WR,Albert Wilson (7530989),Albert Wilson,7530989,3000,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,WR,Chris Conley (7530990),Chris Conley,7530990,3000,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,WR,De'Anthony Thomas (7530993),De'Anthony Thomas,7530993,3000,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,WR,Demarcus Robinson (7530994),Demarcus Robinson,7530994,3000,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,WR,Tyreek Hill (7530995),Tyreek Hill,7530995,3000,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,DST,Chiefs  (7531227),Chiefs ,7531227,3000,KC@Pit 08:30PM ET,KC,
,,,,,,,,,,RB,Bobby Rainey (7530936),Bobby Rainey,7530936,3000,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,RB,Zach Line (7530937),Zach Line,7530937,3000,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,RB,Ronnie Hillman (7530938),Ronnie Hillman,7530938,3000,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,RB,Orleans Darkwa (7530939),Orleans Darkwa,7530939,3000,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,RB,Paul Perkins (7530941),Paul Perkins,7530941,3000,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,WR,Dwayne Harris (7530997),Dwayne Harris,7530997,3000,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,WR,Charles Johnson (7530998),Charles Johnson,7530998,3000,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,WR,Tavarres King (7530999),Tavarres King,7530999,3000,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,WR,Jarius Wright (7531000),Jarius Wright,7531000,3000,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,WR,Cordarrelle Patterson (7531002),Cordarrelle Patterson,7531002,3000,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,WR,Laquon Treadwell (7531006),Laquon Treadwell,7531006,3000,NYG@Min 08:30PM ET,Min,
,,,,,,,,,,WR,Roger Lewis (7531007),Roger Lewis,7531007,3000,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,DST,Cowboys  (7531225),Cowboys ,7531225,2900,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,DST,Giants  (7531230),Giants ,7531230,2900,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,TE,Cameron Brate (7531013),Cameron Brate,7531013,2800,Den@TB 04:05PM ET,TB,
,,,,,,,,,,DST,Steelers  (7531228),Steelers ,7531228,2800,KC@Pit 08:30PM ET,Pit,
,,,,,,,,,,DST,Rams  (7531221),Rams ,7531221,2700,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,TE,Hunter Henry (7531029),Hunter Henry,7531029,2700,NO@SD 04:25PM ET,SD,
,,,,,,,,,,TE,Vance McDonald (7531033),Vance McDonald,7531033,2700,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,DST,Buccaneers  (7531220),Buccaneers ,7531220,2600,Den@TB 04:05PM ET,TB,
,,,,,,,,,,TE,Lance Kendricks (7531017),Lance Kendricks,7531017,2600,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,DST,49ers  (7531226),49ers ,7531226,2600,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,TE,Larry Donnell (7531046),Larry Donnell,7531046,2600,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,TE,Will Tye (7531050),Will Tye,7531050,2600,NYG@Min 08:30PM ET,NYG,
,,,,,,,,,,TE,Brandon Myers (7531008),Brandon Myers,7531008,2500,Den@TB 04:05PM ET,TB,
,,,,,,,,,,TE,Andrew DePaola (7531009),Andrew DePaola,7531009,2500,Den@TB 04:05PM ET,TB,
,,,,,,,,,,TE,John Phillips (7531011),John Phillips,7531011,2500,Den@TB 04:05PM ET,Den,
,,,,,,,,,,TE,Luke Stocker (7531012),Luke Stocker,7531012,2500,Den@TB 04:05PM ET,TB,
,,,,,,,,,,TE,Jeff Heuerman (7531014),Jeff Heuerman,7531014,2500,Den@TB 04:05PM ET,Den,
,,,,,,,,,,TE,Alan Cross (7531015),Alan Cross,7531015,2500,Den@TB 04:05PM ET,TB,
,,,,,,,,,,TE,Darren Fells (7531016),Darren Fells,7531016,2500,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,TE,Jermaine Gresham (7531018),Jermaine Gresham,7531018,2500,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,TE,Cory Harkey (7531019),Cory Harkey,7531019,2500,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,TE,Tyler Higbee (7531020),Tyler Higbee,7531020,2500,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,TE,Temarrick Hemingway (7531021),Temarrick Hemingway,7531021,2500,LA@Ari 04:25PM ET,LA,
,,,,,,,,,,TE,Troy Niklas (7531022),Troy Niklas,7531022,2500,LA@Ari 04:25PM ET,Ari,
,,,,,,,,,,TE,Sean McGrath (7531024),Sean McGrath,7531024,2500,NO@SD 04:25PM ET,SD,
,,,,,,,,,,TE,Josh Hill (7531026),Josh Hill,7531026,2500,NO@SD 04:25PM ET,NO,
,,,,,,,,,,TE,Asante Cleveland (7531027),Asante Cleveland,7531027,2500,NO@SD 04:25PM ET,SD,
,,,,,,,,,,TE,Chris Manhertz (7531028),Chris Manhertz,7531028,2500,NO@SD 04:25PM ET,NO,
,,,,,,,,,,TE,Kyle Nelson (7531031),Kyle Nelson,7531031,2500,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,TE,Garrett Celek (7531032),Garrett Celek,7531032,2500,Dal@SF 04:25PM ET,SF,
,,,,,,,,,,TE,Gavin Escobar (7531034),Gavin Escobar,7531034,2500,Dal@SF 04:25PM ET,Dal,
,,,,,,,,,,TE,Blake Bell (7531035),Blake Bell,7531035,2500,Dal@SF 04:25PM ET,SF,
